,Player,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,PAtt,PrgP,Carries,PrgC,DAtt,Succ,PCmp%,#,Nation,Pos,Age,Team,annual_wages,total_transfers
1061,Oscar Mingueza,2795,2,3,0,0,14,7,6,0,2697,77,29,24,1.2,1.2,1.6,34,5,2197,2437,142,1807,36,17,14,0.90151826,29,ESP,RW,22-108,Barcelona,220000,1752
1062,Tanguy Ndombele,2792,3,4,0,0,23,7,6,0,2060,66,22,36,1.6,1.6,3.4,78,10,1474,1711,170,1352,73,123,90,0.861484512,28,FRA,DM,25-039,Lyon,12340000,800.84
1063,Matthieu Dreyer,2790,0,0,0,0,0,0,1,0,847,1,0,0,0,0,0,1,0,492,774,0,398,0,1,0,0.635658915,1,FRA,GK,32-323,Lorient,220000,53.5
1064,Yunus Musah,2789,2,0,0,0,13,4,7,0,1176,44,29,39,1.3,1.3,2.4,60,4,591,815,64,700,102,117,69,0.725153374,4,USA,CM,18-271,Valencia,1500000,504.3
1065,Pavel Kaderabek,2783,1,6,0,0,21,6,8,0,1910,26,31,30,3.3,3.3,5.5,68,8,1204,1661,142,888,65,24,6,0.724864539,3,CZE,RB,29-139,Hoffenheim,1700000,298.42
1066,Yerry Mina,2783,2,0,0,0,23,6,5,0,1939,33,35,43,1.7,1.7,0,8,0,1422,1621,68,1158,10,3,1,0.877236274,13,COL,CB,26-325,Everton,6240000,830.13
1067,Jeremy Doku,2782,3,5,0,0,41,9,3,1,1559,54,14,22,3.2,3.2,4.6,132,15,888,1125,136,1145,167,221,146,0.789333333,11,BEL,"LM,LW",19-073,Rennes,840000,469.93
1068,Zaydou Youssouf,2782,2,1,0,0,35,10,5,1,1572,78,42,26,2,2,1.6,65,4,996,1230,132,972,32,69,57,0.809756098,28,FRA,"CM,DM",22-028,Saint-Étienne,700000,178.1
1069,Christoph Kramer,2781,0,2,0,0,12,2,6,0,2133,83,46,50,0.7,0.7,1.3,50,5,1495,1786,159,1034,23,46,32,0.837066069,6,GER,DM,30-175,M'Gladbach,3500000,247.63
1070,Antonio Sanabria,2781,11,2,0,0,69,30,5,0,1071,11,7,16,11.4,11.4,2.2,55,7,543,742,44,638,22,41,24,0.73180593,19,PAR,FW,25-170,Torino,2960000,331.15
1071,Serhou Guirassy,2780,19,1,1,1,97,41,4,0,1146,8,6,14,17.2,16.4,3,77,6,606,786,59,685,25,54,31,0.770992366,9,GUI,FW,25-149,Rennes,2160000,469.93
1072,Demarai Gray,2780,6,6,0,0,80,24,3,0,1325,33,19,33,4.9,4.9,4.3,105,7,673,945,71,810,120,122,64,0.712169312,11,JAM,"AM,LW",25-047,Everton,2080000,830.13
1074,Flavius Daniliuc,2770,1,0,0,0,13,2,4,0,2261,69,28,30,0.9,0.9,0.5,25,2,1752,1994,165,1434,31,13,9,0.878635908,5,AUT,RB,20-123,Nice,40000,348.652
1075,Florian Kainz,2767,5,4,0,0,47,16,4,1,1587,45,35,34,3.9,3.9,6.6,117,16,767,1271,172,943,73,76,33,0.603461841,11,AUT,LM,28-295,Köln,1200000,132.055
1076,Marcus Ingvartsen,2765,9,5,1,2,62,25,6,0,1295,20,26,28,7.4,5.8,2.5,77,14,631,914,72,672,39,61,26,0.690371991,32,DEN,CM,25-222,Union Berlin,720000,59.57
1077,Filip Duricic,2750,7,5,1,1,71,19,6,0,1479,45,13,27,8.4,7.6,7.3,134,15,880,1125,124,903,112,87,54,0.782222222,10,SRB,"RW,AM",29-203,Sassuolo,1300000,428.985
1078,Ludwig Augustinsson,2750,0,5,0,0,20,7,7,0,2004,55,25,31,0.9,0.9,3.4,81,8,1199,1728,79,862,50,12,8,0.693865741,3,SWE,LB,27-179,Sevilla,1070000,807.11
1079,Sandro Ramirez,2747,8,1,0,0,80,31,9,0,1080,20,12,25,5.2,5.2,1.3,86,4,526,715,47,707,65,88,33,0.735664336,12,ESP,"FW,AM",26-035,Getafe,750000,146.8
1080,Pervis Estupinan,2743,0,1,0,0,24,9,4,0,2093,73,60,23,1.1,1.1,4,61,7,1336,1723,105,1095,89,56,26,0.775391759,12,ECU,LB,23-207,Villarreal,2290000,503.3
1081,Jacob Barrett Laursen,2740,2,1,0,0,10,4,2,0,1637,39,52,33,0.2,0.2,1.4,33,2,975,1340,72,661,38,32,20,0.72761194,5,DEN,LB,26-270,Arminia,280000,10.985
1082,Giorgio Chiellini,2740,0,1,0,0,10,0,6,0,2370,34,49,42,1.3,1.3,0.8,31,3,1808,2070,137,1257,41,8,4,0.873429952,3,ITA,CB,37-008,Juventus,5560000,1577.673
1083,Juanmi,2735,18,4,0,0,69,35,6,0,993,52,11,28,13.5,13.5,2.9,49,3,509,651,44,536,32,55,34,0.78187404,7,ESP,LW,28-086,Betis,910000,385.32
1084,Unai Nunez,2731,1,1,0,0,18,6,8,0,1829,27,40,28,2.7,2.7,0.5,14,2,1280,1532,98,1028,18,12,9,0.835509138,3,ESP,CB,24-234,Athletic Club,2240000,221.9
1085,Matthieu Udol,2731,1,3,0,0,18,6,1,1,1793,57,70,45,1,1,2.8,55,3,1162,1456,88,980,67,44,24,0.798076923,3,FRA,CB,25-141,Metz,70000,92.1
1086,Dani Gomez,2729,6,4,0,0,62,22,4,0,880,11,5,6,7.2,7.2,2.9,58,10,407,533,48,590,64,105,51,0.763602251,21,ESP,FW,23-015,Levante,650000,129.3
1087,Karol Linetty,2728,1,0,0,0,20,5,7,0,1312,52,18,27,1.6,1.6,2.6,75,3,818,1012,80,712,37,42,25,0.808300395,77,POL,RW,26-200,Torino,2590000,331.15
1088,Kelechi Iheanacho,2723,16,7,0,1,89,36,2,0,1250,22,6,33,11.6,10.8,6,90,11,683,882,78,766,59,77,48,0.774376417,14,NGA,FW,24-315,Leicester City,3120000,721.915
1089,Ferran Torres,2718,11,6,1,1,87,32,2,0,1378,22,9,28,12,11.2,5.6,78,11,842,1032,84,936,64,83,33,0.815891473,21,ESP,"FW,RW",21-167,Manchester City,6250000,1252.81
